,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:59:00.108000,NOR,1,0 days 00:01:38.115000,1.0,1.0,,,,34.453,25.729,,0 days 00:58:34.505000,0 days 00:59:00.288000,213.0,183.0,273.0,298.0,False,MEDIUM,1.0,True,McLaren,0 days 00:57:21.749000,2026-05-03 17:04:02.494,1,3.0,False,,False,False,98.115,
1,0 days 01:00:32.878000,NOR,1,0 days 00:01:32.770000,2.0,1.0,,,32.593,34.6,25.577,0 days 00:59:32.761000,0 days 01:00:07.361000,0 days 01:00:32.938000,211.0,184.0,271.0,317.0,True,MEDIUM,2.0,True,McLaren,0 days 00:59:00.108000,2026-05-03 17:05:40.853,1,3.0,False,,False,True,92.77,92.77000000000001
2,0 days 01:02:06.141000,NOR,1,0 days 00:01:33.263000,3.0,1.0,,,32.816,34.702,25.745,0 days 01:01:05.754000,0 days 01:01:40.456000,0 days 01:02:06.201000,209.0,185.0,270.0,313.0,False,MEDIUM,3.0,True,McLaren,0 days 01:00:32.878000,2026-05-03 17:07:13.623,1,3.0,False,,False,True,93.263,93.263
3,0 days 01:03:39.955000,NOR,1,0 days 00:01:33.814000,4.0,1.0,,,33.089,34.864,25.861,0 days 01:02:39.290000,0 days 01:03:14.154000,0 days 01:03:40.015000,205.0,186.0,273.0,310.0,False,MEDIUM,4.0,True,McLaren,0 days 01:02:06.141000,2026-05-03 17:08:46.886,1,3.0,False,,False,True,93.814,93.81400000000001
4,0 days 01:05:13.797000,NOR,1,0 days 00:01:33.842000,5.0,1.0,,,32.883,35.214,25.745,0 days 01:04:12.898000,0 days 01:04:48.112000,0 days 01:05:13.857000,210.0,183.0,281.0,308.0,False,MEDIUM,5.0,True,McLaren,0 days 01:03:39.955000,2026-05-03 17:10:20.700,12,3.0,False,,False,True,93.842,93.84200000000001
5,0 days 01:07:24.147000,NOR,1,0 days 00:02:10.350000,6.0,1.0,,,40.675,51.989,37.686,0 days 01:05:54.532000,0 days 01:06:46.521000,0 days 01:07:24.207000,84.0,108.0,249.0,98.0,False,MEDIUM,6.0,True,McLaren,0 days 01:05:13.797000,2026-05-03 17:11:54.542,24,2.0,False,,False,False,130.35,130.35
6,0 days 01:09:41.989000,NOR,1,0 days 00:02:17.842000,7.0,1.0,,,41.553,54.69,41.599,0 days 01:08:05.760000,0 days 01:09:00.450000,0 days 01:09:42.049000,119.0,108.0,192.0,132.0,False,MEDIUM,7.0,True,McLaren,0 days 01:07:24.147000,2026-05-03 17:14:04.892,4,2.0,False,,False,False,137.842,137.84199999999998
7,0 days 01:12:04.388000,NOR,1,0 days 00:02:22.399000,8.0,1.0,,,50.043,54.546,37.81,0 days 01:10:32.092000,0 days 01:11:26.638000,0 days 01:12:04.448000,108.0,97.0,240.0,110.0,False,MEDIUM,8.0,True,McLaren,0 days 01:09:41.989000,2026-05-03 17:16:22.734,4,2.0,False,,False,False,142.399,142.399
8,0 days 01:14:32.014000,NOR,1,0 days 00:02:27.626000,9.0,1.0,,,48.536,55.467,43.623,0 days 01:12:52.984000,0 days 01:13:48.451000,0 days 01:14:32.074000,138.0,84.0,228.0,156.0,False,MEDIUM,9.0,True,McLaren,0 days 01:12:04.388000,2026-05-03 17:18:45.133,4,2.0,False,,False,False,147.626,147.626
9,0 days 01:16:51.133000,NOR,1,0 days 00:02:19.119000,10.0,1.0,,,48.549,55.495,35.075,0 days 01:15:20.623000,0 days 01:16:16.118000,0 days 01:16:51.193000,120.0,94.0,223.0,211.0,False,MEDIUM,10.0,True,McLaren,0 days 01:14:32.014000,2026-05-03 17:21:12.759,4,2.0,False,,False,False,139.119,139.119
10,0 days 01:19:21.960000,NOR,1,,11.0,1.0,,,47.831,47.757,55.27,0 days 01:17:39.161000,0 days 01:18:26.894000,0 days 01:19:22.243000,134.0,125.0,276.0,63.0,False,MEDIUM,11.0,True,McLaren,0 days 01:16:51.133000,2026-05-03 17:23:31.878,41,2.0,False,,False,False,,150.858
11,0 days 01:20:54.516000,NOR,1,0 days 00:01:32.556000,12.0,1.0,,,32.418,34.694,25.444,0 days 01:19:54.438000,0 days 01:20:29.132000,0 days 01:20:54.576000,213.0,189.0,281.0,310.0,True,MEDIUM,12.0,True,McLaren,0 days 01:19:21.960000,2026-05-03 17:26:02.705,1,2.0,False,,False,True,92.556,92.556
