,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
0,2026-05-03 16:20:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
1,2026-05-03 16:30:01,Other,PIT EXIT CLOSED,,,,,,1
2,2026-05-03 16:34:52,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,,1
3,2026-05-03 16:34:57,Flag,DOUBLE YELLOW IN TRACK SECTOR 18,,DOUBLE YELLOW,Sector,18.0,,1
4,2026-05-03 16:37:28,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,1
5,2026-05-03 16:37:50,Flag,DOUBLE YELLOW IN TRACK SECTOR 18,,DOUBLE YELLOW,Sector,18.0,,1
6,2026-05-03 16:37:50,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,,1
7,2026-05-03 16:37:53,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,1
8,2026-05-03 16:37:54,Flag,DOUBLE YELLOW IN TRACK SECTOR 18,,DOUBLE YELLOW,Sector,18.0,,1
9,2026-05-03 16:39:29,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,,DOUBLE YELLOW,Sector,17.0,,1
10,2026-05-03 16:39:48,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,1
11,2026-05-03 16:43:12,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,1
12,2026-05-03 16:45:12,Other,RISK OF RAIN FOR THE F1 RACE IS 40%,,,,,,1
13,2026-05-03 16:57:05,Other,OVERTAKE DISABLED,,,,,,1
14,2026-05-03 17:04:03,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
15,2026-05-03 17:05:27,Other,OVERTAKE ENABLED,,,,,,1
16,2026-05-03 17:07:40,Other,TURN 11 INCIDENT INVOLVING CARS 43 (COL) AND 44 (HAM) NOTED - CAUSING A COLLISION,,,,,,3
17,2026-05-03 17:09:18,Other,FIA STEWARDS: TURN 11 INCIDENT INVOLVING CARS 43 (COL) AND 44 (HAM) REVIEWED NO FURTHER INVESTIGATION - CAUSING A COLLISION,,,,,,4
18,2026-05-03 17:11:46,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,5
19,2026-05-03 17:12:02,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,,6
20,2026-05-03 17:12:03,Flag,YELLOW IN TRACK SECTOR 14,,YELLOW,Sector,14.0,,6
21,2026-05-03 17:12:04,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,6
22,2026-05-03 17:12:15,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,6
23,2026-05-03 17:12:15,Other,OVERTAKE DISABLED,,,,,,6
24,2026-05-03 17:12:43,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,6
25,2026-05-03 17:13:34,Flag,DOUBLE YELLOW IN TRACK SECTOR 18,,DOUBLE YELLOW,Sector,18.0,,6
26,2026-05-03 17:15:00,Other,MARSHALS ON TRACK AT TURN 14,,,,,,7
27,2026-05-03 17:15:45,Other,MARSHALS ON TRACK AT TURN 17,,,,,,7
28,2026-05-03 17:16:06,Other,RECOVERY VEHICLE ON TRACK AT TURN 17,,,,,,7
29,2026-05-03 17:16:39,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,,8
30,2026-05-03 17:16:41,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,8
31,2026-05-03 17:16:41,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,8
32,2026-05-03 17:16:42,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,8
33,2026-05-03 17:16:49,Other,RECOVERY VEHICLE ON TRACK AT TURN 14,,,,,,8
34,2026-05-03 17:17:00,Other,TURN 17 INCIDENT INVOLVING CAR 10 (GAS) NOTED - CAUSING A COLLISION,,,,,,8
35,2026-05-03 17:17:08,Other,FIA STEWARDS: TURN 17 INCIDENT INVOLVING CAR 10 (GAS) UNDER INVESTIGATION - CAUSING A COLLISION,,,,,,8
36,2026-05-03 17:19:18,Other,FIA STEWARDS: UPDATE: TURN 17 INCIDENT INVOLVING CARS 30 (LAW) AND 10 (GAS) UNDER INVESTIGATION - CAUSING A COLLISION,,,,,,9
37,2026-05-03 17:19:35,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,,9
38,2026-05-03 17:19:45,Other,FIA STEWARDS: TURN 17 INCIDENT INVOLVING CARS 30 (LAW) AND 10 (GAS) WILL BE INVESTIGATED AFTER THE RACE - CAUSING A COLLISION,,,,,,9
39,2026-05-03 17:20:37,Other,CAR 81 (PIA) TIME 2:11.907 DELETED - TRACK LIMITS AT TURN 15 LAP 6 13:13:19,,,,,,9
40,2026-05-03 17:20:38,Other,CAR 30 (LAW) LAP DELETED - TRACK LIMITS AT TURN 15 LAP 6 13:14:05 (PIT),,,,,,9
41,2026-05-03 17:21:40,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,10
42,2026-05-03 17:21:41,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,10
43,2026-05-03 17:22:20,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,10
44,2026-05-03 17:22:21,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,10
45,2026-05-03 17:22:23,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,10
46,2026-05-03 17:22:23,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,10
47,2026-05-03 17:22:44,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,10
48,2026-05-03 17:22:44,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,10
49,2026-05-03 17:22:44,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,10
50,2026-05-03 17:23:29,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,,10
51,2026-05-03 17:23:47,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,11
52,2026-05-03 17:23:47,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,11
53,2026-05-03 17:23:48,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,11
54,2026-05-03 17:24:00,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,11
55,2026-05-03 17:24:01,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,11
56,2026-05-03 17:24:04,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,11
57,2026-05-03 17:24:07,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,11
58,2026-05-03 17:25:33,Flag,TRACK CLEAR,,CLEAR,Track,,,11
59,2026-05-03 17:26:21,Other,OVERTAKE ENABLED,,,,,,12
60,2026-05-03 17:27:32,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 14,,,,,,12
61,2026-05-03 17:28:47,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,13
62,2026-05-03 17:29:51,Other,TURN 11 INCIDENT INVOLVING CARS 41 (LIN) AND 11 (PER) NOTED - FORCING ANOTHER DRIVER OFF THE TRACK,,,,,,14
63,2026-05-03 17:29:59,Other,CAR 11 (PER) TIME 1:36.951 DELETED - TRACK LIMITS AT TURN 11 LAP 12 13:27:01,,,,,,14
64,2026-05-03 17:32:23,Other,FIA STEWARDS: TURN 11 INCIDENT INVOLVING CARS 41 (LIN) AND 11 (PER) REVIEWED NO FURTHER INVESTIGATION - FORCING ANOTHER DRIVER OFF THE TRACK,,,,,,16
65,2026-05-03 17:32:29,Flag,YELLOW IN TRACK SECTOR 19,,YELLOW,Sector,19.0,,16
66,2026-05-03 17:32:33,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,16
67,2026-05-03 17:33:10,Other,INCIDENT INVOLVING CAR 3 (VER) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT EXIT,,,,,,16
68,2026-05-03 17:34:04,Other,INCIDENT INVOLVING CAR 31 (OCO) NOTED - YELLOW FLAG INFRINGEMENT,,,,,,17
69,2026-05-03 17:34:12,Other,INCIDENT INVOLVING CAR 23 (ALB) NOTED - YELLOW FLAG INFRINGEMENT,,,,,,17
70,2026-05-03 17:34:23,Other,INCIDENT INVOLVING CAR 14 (ALO) NOTED - YELLOW FLAG INFRINGEMENT,,,,,,17
71,2026-05-03 17:35:19,Other,CAR 18 (STR) TIME 1:40.953 DELETED - TRACK LIMITS AT TURN 17 LAP 15 13:32:27,,,,,,17
72,2026-05-03 17:37:01,Other,CAR 18 (STR) TIME 1:36.371 DELETED - TRACK LIMITS AT TURN 5 LAP 17 13:34:39,,,,,,19
73,2026-05-03 17:38:32,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 3 (VER) WILL BE INVESTIGATED AFTER THE RACE - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT EXIT,,,,,,20
74,2026-05-03 17:40:21,Other,TURN 18 INCIDENT INVOLVING CARS 23 (ALB) AND 3 (VER) NOTED,,,,,,21
75,2026-05-03 17:41:01,Other,CAR 12 (ANT) TIME 1:33.345 DELETED - TRACK LIMITS AT TURN 5 LAP 19 13:37:17,,,,,,21
76,2026-05-03 17:42:48,Other,FIA STEWARDS: TURN 18 INCIDENT INVOLVING CARS 23 (ALB) AND 3 (VER) REVIEWED NO FURTHER INVESTIGATION,,,,,,22
77,2026-05-03 17:46:48,Other,CAR 14 (ALO) TIME 1:36.386 DELETED - TRACK LIMITS AT TURN 5 LAP 23 13:44:15,,,,,,25
78,2026-05-03 17:48:37,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 15,,,,,,26
79,2026-05-03 17:48:41,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,26
80,2026-05-03 17:49:08,Other,INCIDENT INVOLVING CAR 77 (BOT) NOTED - SPEEDING IN THE PIT LANE,,,,,,26
81,2026-05-03 17:51:07,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 77 (BOT) UNDER INVESTIGATION - SPEEDING IN THE PIT LANE,,,,,,28
