,Time,Status,Message
0,0 days 00:00:00,1,AllClear
1,0 days 00:28:11.432000,2,Yellow
2,0 days 00:30:47.140000,1,AllClear
3,0 days 00:31:09.235000,2,Yellow
4,0 days 00:31:12.720000,1,AllClear
5,0 days 00:31:13.251000,2,Yellow
6,0 days 00:36:31.543000,1,AllClear
7,0 days 01:05:05.815000,2,Yellow
8,0 days 01:05:34.079000,4,SCDeployed
9,0 days 01:18:52.924000,1,AllClear
10,0 days 01:25:48.656000,2,Yellow
11,0 days 01:25:52.109000,1,AllClear
12,0 days 02:15:48.835000,2,Yellow
13,0 days 02:15:51.375000,1,AllClear
14,0 days 02:29:50.839000,2,Yellow
15,0 days 02:29:56.351000,1,AllClear
16,0 days 02:34:44.751000,2,Yellow
